,Participant,X0,Y0,Xt,Yt,MT,strategy,block,Xf,A
159,15,0.13464702797143352,,,,0.45000000000000284,1,5,146.1665488987958,150.0
160,15,0.19464631929153445,,,,0.4400000000000013,1,5,149.19880936476778,150.0
161,15,0.045003895184959036,,,,0.5199999999999996,1,5,146.47989470805604,150.0
162,15,0.01939063050301682,,,,0.6500000000000021,1,5,147.05896082748131,150.0
163,15,-0.14080914148113868,,,,0.42,2,2,139.05106211906738,150.0
164,15,-0.03238096135812379,,,,0.78,2,2,153.5698812026551,150.0
165,15,-0.3651843277592135,,,,0.8700000000000001,2,2,143.1773485746671,150.0
166,15,-0.06516040332426273,,,,0.4300000000000006,2,2,146.9667725209445,150.0
167,15,-0.10482866870676856,,,,0.5800000000000001,2,2,151.44269071745038,150.0
168,15,-0.3385066062503004,,,,0.7400000000000002,2,2,140.24660822619367,150.0
169,15,0.02049422361511593,,,,0.4900000000000002,2,2,157.67793649784062,150.0
170,15,-0.00038037214416837675,,,,0.6300000000000008,2,2,150.08919135765046,150.0
171,15,0.1040062266656133,,,,0.6300000000000008,2,2,149.1596757245891,150.0
172,15,0.15065560442906026,,,,0.7199999999999989,2,2,150.1189503401667,150.0
173,15,-0.009131914219622634,,,,0.5499999999999972,2,2,149.30219385998552,150.0
174,15,0.011144135007228422,,,,0.7399999999999984,2,2,148.18432101793707,150.0
175,15,0.13255775513297444,,,,0.6400000000000006,2,2,148.1216375835128,150.0
176,15,0.0500331203027639,,,,0.7699999999999996,2,2,151.26246269636124,150.0
177,15,0.09765435175658882,,,,0.5399999999999991,2,2,153.08056673310216,150.0
178,15,0.46818161345266723,,,,0.8000000000000007,2,2,149.09803534729778,150.0
179,15,-1.0888139836778312,,,,1.61,2,1,131.2128115535447,150.0
180,15,-0.8437481310197967,,,,1.2599999999999998,2,1,147.44690872245064,150.0
181,15,0.1695654921880853,,,,0.4500000000000002,2,1,144.17278638204849,150.0
