Experiment parameters :;;;;;;;;;;;;;;;;;;;;;;;
Instruction;5. Full accuracy;;;;;;;;;;;;;;;;;;dot size = ;0.01011;;;
Block number;5;;;;;;;;;;;;;;;;;;;D S et T  positions relative par rapport à la ligne de départ;;;
D screen value (in mm);150;;;;;;;;;;;;;;;;;;;;;;39.000
D screen value (in pixels);564.705882;;;;;;;;;;;;;;;;;;;;min;;
DC Gain;1;;;;;;;;;;;;;;;;;;;;3821;;
Duration (in s);0;;;;;;;;;;;;;;;;;;;;max;;
Screen offset (in mm);95;;;;;;;;;;;;;;;;;;;;3868;;
Tablet offset (in mm);39;;;;;;;;;;;;;;;;;;;;moy;;
Tablet start line (in dots);3859;;;;;;;;;;;;;;;;;;;;3855.5;;
Tablet target line (in dots);18703;;;;;;;;;;;;;;;;;;;La correction reste à faire;;;
Screen start line (pixels);357;;;;;;;;;;;;;;;;;;;Nouvelle colonne;;;
;;;;;;;;;;;;;;;;;;;;faire la troncature de col S;X tablet in dots;;
Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm);x screen pixel;si x screen px = 0;;
3.23387498;3839;14210;0;897;88;86;3;14;0;0;4;16;0;0;2;0;64;-0.13206732;-0.206955;0;3839;;
3.23789798;3840;14213;0;894;89;86;1;14;0;0;4;16;0;0;2;0;64;-0.09402501;-0.19685;0;3840;;
3.25387698;3842;14207;0;869;89;86;5;14;0;0;4;16;0;0;2;0;64;-0.0179404;-0.17664;0;3842;;
3.27387198;3885;14209;0;865;90;86;0;14;0;0;4;16;0;0;2;0;64;1.61787865;0.257874;1;;;
3.27790298;3995;14203;1;870;90;86;2;14;0;0;4;16;0;0;2;0;64;5.80253204;1.369423;5;;;
3.29387498;4200;14198;3;874;90;86;7;14;0;0;4;16;0;0;2;0;64;13.60120426;3.440945;13;;;
3.29789898;4528;14199;6;880;91;86;4;14;0;0;4;16;0;0;2;0;64;26.07907982;6.755381;26;;;
3.31387498;4985;14192;11;886;91;86;1;14;0;0;4;16;0;0;2;0;64;43.46441254;11.37336;43;;;
3.31789798;5561;14187;17;889;91;86;7;14;0;0;4;16;0;0;2;0;64;65.37677937;17.193832;65;;;
3.33387498;6237;14185;24;892;91;86;5;14;0;0;4;16;0;0;2;0;64;91.09337656;24.024803;91;;;
3.33789898;7018;14182;31;891;90;86;6;14;0;0;4;16;0;0;2;0;64;120.8044156;31.916798;120;;;
3.35387698;8693;14172;48;897;89;86;10;14;0;0;4;16;0;0;2;0;64;184.5252741;48.842651;184;;;
3.37387298;9585;14168;57;900;88;85;10;14;0;0;4;16;0;1;0;0;64;218.4590088;57.856299;218;;;
3.37790298;10507;14160;67;905;86;85;10;14;0;0;4;16;0;1;0;0;64;253.5340127;67.173097;253;;;
3.39387498;11453;14155;76;910;85;85;15;14;0;0;4;16;0;1;0;0;64;289.5220318;76.732415;289;;;
3.39789998;12388;14149;86;911;83;85;8;14;0;0;4;16;0;1;0;0;64;325.0915856;86.180577;325;;;
3.41387498;13314;14143;95;912;82;85;15;14;0;0;4;16;0;1;0;0;64;360.3187587;95.537795;360;;;
3.41789898;14164;14134;104;932;80;85;10;14;0;0;4;16;0;1;0;0;64;392.6547167;104.127034;392;;;
3.43387498;14910;14128;111;919;79;85;10;14;0;0;4;16;0;1;0;0;64;421.0342751;111.665354;421;;;
3.43789998;15587;14117;118;918;77;85;11;14;0;0;4;16;0;1;0;0;64;446.7889146;118.50643;446;;;
3.45387798;16705;14108;129;922;75;85;8;14;0;0;4;16;0;1;0;0;64;489.32021;129.803806;489;;;
3.47387298;17150;14100;134;924;74;85;8;14;0;0;4;16;0;1;0;0;64;506.2490351;134.300525;506;;;
3.47790298;17508;14097;137;925;73;85;12;14;0;0;4;16;0;1;0;0;64;519.8681797;137.91811;519;;;
3.49387598;17793;14094;140;926;72;85;10;14;0;0;4;16;0;1;0;0;64;530.7102362;140.798031;530;;;
3.49790098;18018;14090;143;925;71;85;8;14;0;0;4;16;0;1;0;0;64;539.2697545;143.071654;539;;;
3.51387598;18208;14090;144;923;70;85;14;14;0;0;4;16;0;1;0;0;64;546.4977922;144.991601;546;;;
3.51790098;18373;14090;146;924;69;86;14;14;0;0;4;16;0;0;2;0;64;552.7747723;146.658924;552;;;
3.53387698;18509;14088;148;924;69;86;13;14;0;0;4;16;0;0;2;0;64;557.9485256;148.033202;557;;;
3.53789998;18621;14084;149;919;68;86;12;14;0;0;4;16;0;0;2;0;64;562.2092636;149.164961;562;;;
3.55387598;18713;14086;150;914;67;86;15;14;0;0;4;16;0;0;2;0;64;565.7091555;150.094619;565;;;
3.55790098;18772;14086;150;910;67;86;12;14;0;0;4;16;0;0;2;0;64;567.9536514;150.690814;567;;;
3.57387398;18820;14084;151;905;66;86;14;14;0;0;4;16;0;0;2;0;64;569.779682;151.175853;569;;;
